gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,fyr,datadate,sedol,conm,costat,fic
008303,INDL,HIST_STD,C,I,ZAR,1997,12,19971231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,1998,12,19981231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,1999,12,19991231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2000,12,20001231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2001,12,20011231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2002,12,20021231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2003,12,20031231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2004,12,20041231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2005,12,20051231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2006,12,20061231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2007,12,20071231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2008,12,20081231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2009,12,20091231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2010,12,20101231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2011,12,20111231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2012,12,20121231,6667904,PALABORA MINING CO LTD,I,ZAF
008303,INDL,HIST_STD,C,I,ZAR,2013,12,20131231,6667904,PALABORA MINING CO LTD,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1989,12,19891231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1990,12,19901231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1991,12,19911231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1992,12,19921231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1993,12,19931231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1994,12,19941231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1995,12,19951231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1996,12,19961231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1997,12,19971231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
015408,INDL,HIST_STD,C,I,ZAR,1998,12,19981231,6259118,DE BEERS CONSOLIDATED MINES,I,ZAF
