Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
146202,Exxaro Resources Ltd,Energy,2015,12,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,31,
209995,SacOil Holdings Ltd,Energy,2015,2,,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,,1,1,0,0,0,1,1,,1,1,0,1,0,1,1,,1,1,0,0,0,1,1,,1,1,0,0,0,1,1,29,
211666,Sentula Mining Ltd,Energy,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,21,"I use 2015 report, but this company adjust their financial year in 2016, i.e 3/2014-3/2015; 4/2015-6/2016"
212633,Buildmax Ltd,Energy,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,15,
16610,Anglo American Platinum Ltd,Materials,2015,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,,1,1,1,1,0,1,1,,1,0,1,1,0,0,1,,1,1,1,1,1,1,1,31,
17287,Sibanye Gold Ltd,Materials,2015,12,,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,,1,0,0,1,0,0,0,,1,1,1,1,1,0,1,,1,0,1,1,1,0,1,,1,1,0,1,1,0,1,28,
17315,African Rainbow Minerals Ltd,Materials,2015,6,,1,1,1,1,1,1,1,,1,1,0,1,1,0,1,,1,1,1,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,38,
17947,Gold Fields Ltd,Materials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,18,
19824,AngloGold Ashanti Ltd,Materials,2015,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,1,1,0,1,1,1,1,36,
60918,ArcelorMittal South Africa Ltd,Materials,2015,12,,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,39,
62997,Nampak Ltd,Materials,2015,9,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,31,
100465,Sasol Ltd,Materials,2015,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,42,
100767,AECI Ltd,Materials,2015,12,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,14,
102035,PPC Ltd,Materials,2015,9,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,0,0,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,38,
102039,Impala Platinum Holdings Ltd,Materials,2015,6,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,34,
102265,African Oxygen Ltd.,Materials,2015,12,,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,,1,1,0,0,0,1,1,,1,1,0,1,1,1,1,,1,1,0,0,0,1,1,,1,1,0,1,1,1,1,32,
102341,Harmony Gold Mining Co Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,20,
200148,Petmin Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,0,0,17,
200316,Spanjaard Ltd,Materials,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,17,
200333,Merafe Resources Ltd,Materials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,19,
201706,DRDGold Ltd,Materials,2015,6,,1,1,0,1,1,1,1,,1,1,0,1,0,1,1,,0,0,0,0,0,0,0,,1,1,0,1,0,1,1,,1,1,0,1,0,1,1,,1,1,0,1,1,1,1,27,
204211,Northam Platinum (PTY) Ltd,Materials,2015,6,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,0,0,0,0,0,0,0,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,25,
209952,Assore Ltd,Materials,2015,6,,1,0,1,1,1,1,0,,1,0,0,1,1,1,0,,1,1,0,0,0,1,1,,1,0,0,1,1,1,0,,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,29,
