Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
102016,Sun International Ltd,Consumer Discretionary,2015,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,39," consist in model, but inconsist in following disclosure, financial capital, intellectual capital ,etc. "
102016,SUN INTERNATIONAL LTD,Consumer Discretionary,2016,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,38,
102497,Foschini Group Ltd,Consumer Discretionary,2015,3,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,41,
102497,FOSCHINI GROUP LTD,Consumer Discretionary,2016,3,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,39,
102502,Metair Investment Ltd,Consumer Discretionary,2015,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,42,
102502,METAIR INVESTMENTS,Consumer Discretionary,2016,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,41,
102572,E Media Holdings Ltd,Consumer Discretionary,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,17,
102572,E MEDIA HOLDINGS LTD,Consumer Discretionary,2016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
200613,Steers Holdings Ltd,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
200613,FAMOUS BRANDS LTD,Consumer Discretionary,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
