globalcompanykey,isocurrencycode,datayearfiscal,fiscalyearendmonth
1932,GBP,2008,12
1932,GBP,2009,12
1932,GBP,2011,12
1932,GBP,2012,12
1932,GBP,2015,12
1932,GBP,2016,12
13312,USD,2008,6
13312,USD,2009,6
13312,USD,2010,6
13312,USD,2011,6
13312,USD,2013,6
13312,USD,2014,6
13312,USD,2015,6
13312,USD,2016,6
15508,USD,2008,12
15508,USD,2009,12
15508,USD,2010,12
15508,USD,2011,12
15508,USD,2012,12
15508,USD,2013,12
15508,USD,2014,12
15508,USD,2015,12
15508,USD,2016,12
15618,ZAR,2008,12
15618,ZAR,2009,12
15618,ZAR,2010,12
15618,ZAR,2011,12
15618,ZAR,2012,12
15618,ZAR,2013,12
15618,ZAR,2014,12
15618,ZAR,2015,12
15618,ZAR,2016,12
15781,ZAR,2008,12
15781,ZAR,2009,12
15781,ZAR,2010,12
15781,ZAR,2011,12
15781,ZAR,2012,12
15781,ZAR,2013,12
15781,ZAR,2014,12
15781,ZAR,2015,12
15781,ZAR,2016,12
16183,ZAR,2008,6
16183,ZAR,2009,6
16183,ZAR,2010,6
16183,ZAR,2011,6
16183,ZAR,2012,6
16183,ZAR,2013,6
16183,ZAR,2014,6
16183,ZAR,2015,6
16183,ZAR,2016,6
16305,ZAR,2008,12
16305,ZAR,2009,12
16305,ZAR,2010,12
16305,ZAR,2011,12
16305,ZAR,2012,12
16305,ZAR,2013,12
16305,ZAR,2014,12
16305,ZAR,2015,12
16305,ZAR,2016,12
16356,ZAR,2011,12
16356,ZAR,2012,12
16356,ZAR,2014,6
16356,ZAR,2016,6
16610,ZAR,2008,12
16610,ZAR,2009,12
16610,ZAR,2010,12
16610,ZAR,2011,12
16610,ZAR,2012,12
16610,ZAR,2013,12
16610,ZAR,2014,12
16610,ZAR,2015,12
16610,ZAR,2016,12
17287,ZAR,2014,12
17287,ZAR,2015,12
17287,ZAR,2016,12
17315,ZAR,2008,6
17315,ZAR,2009,6
17315,ZAR,2010,6
17315,ZAR,2011,6
17315,ZAR,2012,6
17315,ZAR,2013,6
17315,ZAR,2014,6
17315,ZAR,2015,6
17315,ZAR,2016,6
