globalcompanykey,industryformat,comparabilitystatus,isocurrencycode,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,assetstotal,capitalexpenditures,debtincurrentliabilitiestotal,longtermdebttotal,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,intangibleassetstotal,liabilitiestotal,operatingactivitiesnetcashflow,salesturnovernet,stockexchangecode,comsharesoutstandingissue,netincomelossconsolidated,companylegalname,gicsectors,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth,tobins_q,tobins_q1
1932,,,GBP,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13312,,,USD,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15508,,,USD,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15618,FS,,ZAR,2015,12,188.61,1,925726,,24706,35807,0,0,0,9010,846975,,,177,476.556,10721,Nedbank Group Ltd,40,Financials,.0097329011,11.197735,.011581181,.065368153,0,.010488374,89883.227,,.14384176,1.0368285,
15618,FS,,ZAR,2016,12,238.13,1,966022,,25574,45904,0,0,0,10083,884311,,,177,478.38901,10132,Nedbank Group Ltd,40,Financials,.010437651,13.780942,.010488374,.073992103,0,,113918.77,,.043529078,,
15781,FS,,ZAR,2015,12,113.5,1,1979349,,3074,27239,0,0,377,24031,1800441,,,177,1601.418,21013,Standard Bank Group Ltd,40,Financials,.012140861,11.95768,.010616117,.015314631,377,.011362694,181760.94,,.040205061,1.031059,
15781,FS,,ZAR,2016,12,151.75,1,1954290,,4058,22211,0,0,406,23675,1774931,,,177,1596.584,22206,Standard Bank Group Ltd,40,Financials,.012114374,14.485538,.011362694,.013441711,406,,242281.63,,-.012660223,,
16183,FS,,ZAR,2015,6,26.46,1,106403,,5930,27979,0,3135,0,2580,38321,,,177,2680.4241,6955,Growthpoint Properties Ltd,60,Real Estate,.024247436,9.0343904,.065364696,.31868464,3135,.043525949,70924.023,,.27820623,1.0286298,
16183,FS,,ZAR,2016,6,25.68,1,118527,,4491,34089,0,5019,0,2461,44361,,,177,2757.564,5159,Growthpoint Properties Ltd,60,Real Estate,.020763202,11.682896,.043525949,.32549545,5019,,70814.242,,.11394416,,
16305,FS,,ZAR,2015,12,143.49,1,1144604,,6716,139738,0,0,0,3772,1045957,,,177,845.72498,14331,Barclays Africa Group Ltd,40,Financials,.0032954628,11.40997,.012520487,.12795168,0,.013358486,121353.08,,.15451668,1.0451963,
16305,FS,,ZAR,2016,12,168.69,1,1101023,,103005,75462,0,8708,0,4049,998743,,,177,846.67499,14708,Barclays Africa Group Ltd,40,Financials,.003677489,13.91175,.013358486,.16209199,8708,,142825.61,,-.038075179,,
16356,FS,,ZAR,2016,6,129.89,1,33848.961,,1294.052,8632.0361,0,1522.189,0,18.134001,10730.103,,,177,242.845,2750.8469,Hyprop Investments,60,Real Estate,.00053573289,10.429664,.081268281,.29324648,1522.189,,31543.137,,.17303851,,
16610,INDL,,ZAR,2015,12,185.34,1,73960,5152,2223,12218,0,0,0,0,33937,8264,59815,177,261.69101,-12125,Anglo American Platinum Ltd,15,Materials,0,8.670681,-.16393997,.19525419,0,.0081341621,48501.813,.075577214,-.17821309,1.4760718,
16610,INDL,,ZAR,2016,12,264.41,1,77697,5018,3282,9494,0,0,0,0,37915,11400,61960,177,261.983,632,Anglo American Platinum Ltd,15,Materials,0,11.260571,.0081341621,.16443363,0,,69270.922,.035860568,.050527312,,
17287,INDL,,ZAR,2015,12,22.85,1,28265.699,3338.8,1995.3,1808.3,658.40002,0,0,736.70001,13280.9,4173.7002,22717.4,177,916.14099,716.90002,Sibanye Gold Ltd,15,Materials,.026063392,7.7088056,.025362898,.13456593,658.40002,.088722065,20933.822,.043015558,.012312873,1.1984123,
17287,INDL,,ZAR,2016,12,25.39,1,41721.301,4147.3999,752.29999,8221.5,1611.9,1400,0,936,25023.9,6017.3999,31240.699,177,929.00403,3701.6001,Sibanye Gold Ltd,15,Materials,.022434583,10.638767,.088722065,.21508917,3011.8999,,23587.412,.37518811,.47603995,,
17315,INDL,,ZAR,2015,6,82.73,1,35283,1276,1371,2511,1302,761,0,149,8378,3357,9263,177,217.491,104,African Rainbow Minerals Ltd,15,Materials,.004222997,7.9305577,.0029475952,.11002466,2063,-.016084494,17993.029,-.074070372,-.032228865,1.0530773,
17315,INDL,,ZAR,2016,6,92,1,35127,852,1380,4171,761,491,0,137,10546,1371,8745,177,205.30499,-565,African Rainbow Minerals Ltd,15,Materials,.0039001338,10.466725,-.016084494,.15802659,1252,,18888.059,-.055921409,-.0044213929,,
17947,INDL,,USD,2015,12,42.2,1,5877.7002,634.09998,58.700001,1761.6,15.1,2425,0,295.29999,3109.7,759,2545.3999,177,776.59399,-242.10001,Gold Fields Ltd,15,Materials,.050240736,8.6789207,-.041189581,.30969596,2440.1001,.025699718,32772.266,-.11273011,-.14290506,.9916389,
17947,INDL,,USD,2016,12,43.59,1,6334.7002,847,188,1504.9,39.200001,2505,0,317.79999,3145.1001,956.70001,2749.5,177,820.60699,162.8,Gold Fields Ltd,15,Materials,.050168119,8.7537975,.025699718,.26724234,2544.2,,35770.258,.080183901,.077751502,,
19824,INDL,,USD,2015,12,106.26,1,7284,666,100,2637,0,0,0,161,4817,1139,4015,177,405.26501,31,AngloGold Ashanti Ltd,15,Materials,.022103241,8.8934355,.0042559034,.37575507,0,.0088074934,43063.461,-.2305481,-.20253997,1.1570446,
19824,INDL,,USD,2016,12,152.58,1,7153,706,34,2144,0,0,0,145,4399,1186,4085,177,408.224,63,AngloGold Ashanti Ltd,15,Materials,.020271216,8.8752871,.0088074934,.30448762,0,,62286.816,.017434619,-.017984623,,
24946,FS,,ZAR,2015,6,30.15,1,446841,,459,4969,0,0,0,5832,421793,,,177,1558,2857,MMI Holdings Ltd,40,Financials,.013051623,10.469359,.006393773,.012147497,0,.0046696984,46973.699,,.078528911,1.0477808,
24946,FS,,ZAR,2016,6,22.64,1,458702,,1623,4010,0,0,0,5309,434303,,,177,1561,2142,MMI Holdings Ltd,40,Financials,.011573963,13.036156,.0046696984,.012280304,0,,35341.039,,.026544118,,
25052,FS,,ZAR,2015,12,115.18,1,419318,,16159,3914,0,0,2,317,393325,,,177,270.371,4009,Liberty Holdings Ltd,40,Financials,.00075598952,10.405787,.0095607629,.047870591,2,.0052312212,31141.332,,.11600289,1.0282053,
25052,FS,,ZAR,2016,12,111,1,421890,,11748,4601,0,0,2,390,392884,,,177,272.24701,2207,Liberty Holdings Ltd,40,Financials,.00092441158,12.9525,.0052312212,.038751807,2,,30219.418,,.0061337696,,
60918,INDL,,ZAR,2015,12,4.5,1,30962,1245,5092,193,0,0,0,112,17490,-1107,31141,177,401.202,-8635,ArcelorMittal South Africa Ltd,15,Materials,.0036173374,7.7999172,-.27889025,.17069311,0,-.15356001,1805.4089,-.10647883,-.062496215,,
60918,INDL,,ZAR,2016,12,11.5,1,30646,1983,2020,124,0,0,0,103,17103,90,32737,177,1093.51,-4706,ArcelorMittal South Africa Ltd,15,Materials,.0033609606,10.330257,-.15356001,.069960192,0,,12575.365,.051250763,-.010206059,,
