year2011,ranking_2011,year2012,ranking_2012,year2013,ranking_2013,year2014,ranking_2014,year2015,ranking_2015
absa group,1,gold fields,1,royal bafokeng platinum,1,liberty holdings,1,kumba iron ore,1
african rainbow minerals,1,truworths international,1,standard bank group,1,anglo american,1,oceana group,1
exxaro resources,1,standard bank group,1,sasol,1,barclays africa group,1,liberty holdings,1
gold fields,1,royal bafokeng platinum,1,truworths international,1,sasol,1,sasol,1
liberty holdings,1,sasol,1,gold fields,1,mtn group,1,redefine properties,1
nedbank group,1,vodacom group,1,aspen pharmacare hldgs,1,redefine properties,1,truworths international,1
sasol,1,illovo sugar,1,kumba iron ore,1,standard bank group,1,vodacom group,1
standard bank group,1,nedbank group,1,liberty holdings,1,truworths international,1,nedbank group,1
truworths international,1,exxaro resources,1,clicks group,1,gold fields,1,anglo american,1
vodacom group,1,liberty holdings,1,exxaro resources,1,kumba iron ore,1,barclays africa group,1
adcock ingram holdings,2,absa group,2,altron (allied electronics),2,african rainbow minerals,2,anglo american platinum,2
african bank investments,2,adcock ingram holdings,2,anglo american,2,anglo american platinum,2,anglogold ashanti,2
allied electronics corp,2,african bank investments,2,arcelormittal south africa,2,anglogold ashanti,2,aspen pharmacare hldgs,2
anglo american platinum,2,african rainbow minerals,2,barloworld,2,arcelormittal south africa,2,barloworld,2
anglo american,2,anglo american plc,2,growthpoint properties,2,aspen pharmacare hldgs,2,exxaro resources,2
aspen pharmacare hldgs,2,anglogold ashanti,2,illovo sugar,2,barloworld,2,gold fields,2
aveng,2,aspen pharmacare hldgs,2,lonmin,2,clicks group,2,impala platinum holdings,2
barloworld,2,clicks group,2,murray & roberts hldgs,2,exxaro resources,2,intu properties,2
clicks group,2,growthpoint properties,2,oceana group,2,growthpoint properties,2,life healthcare group hldgs,2
growthpoint properties,2,harmony gold mining co,2,ppc,2,intu properties,2,massmart holdings,2
harmony gold mining co,2,intu properties plc,2,sabmiller,2,life healthcare group hldgs,2,mtn group,2
kumba iron ore,2,kumba iron ore,2,tsogo sun holdings,2,massmart holdings,2,nampak,2
lonmin,2,lonmin,2,woolworths hldgs,2,nampak,2,netcare,2
pretoria portland cement company,2,omnia hldgs,2,anglo american platinum,2,nedbank group,2,sappi,2
royal bafokeng platinum,2,pretoria portland cement company,2,anglogold ashanti,2,oceana group,2,standard bank group,2
sappi,2,sabmiller,2,barclays africa group,2,ppc,2,telkom sa soc,2
sun international,2,sappi,2,british american tobacco,2,sabmiller,2,tsogo sun holdings,2
aeci,3,woolworths hldgs,2,harmony gold mining co,2,sappi,2,woolworths hldgs,2
anglogold ashanti,3,anglo american platinum,3,intu properties,2,tsogo sun holdings,2,african rainbow minerals,3
aquarius platinum,3,aveng,3,mtn group,2,vodacom group,2,attacq limited,3
arcelormittal south africa,3,barloworld,3,nedbank group,2,woolworths hldgs,2,bhp billiton,3
bhp billiton,3,bhp billiton,3,omnia hldgs,2,acucap properties,3,british american tobacco,3
british american tobacco,3,british american tobacco,3,redefine properties,2,aeci,3,capitec bank holdings,3
capital shopping centres group,3,capitec bank holdings,3,sappi,2,assore,3,clicks group,3
discovery,3,discovery,3,vodacom group,2,attacq limited,3,curro holdings,3
