globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
1932,01W,2010,GBP,24.33891304347826,24.635
1932,01W,2011,GBP,29.911363636363628,30.555
1932,01W,2012,GBP,31.91309523809524,31.21
1932,01W,2013,GBP,31.91431818181818,32.38
1932,01W,2014,GBP,35.54434782608696,35.0
1932,01W,2015,GBP,37.485652173913046,37.71
1932,01W,2016,GBP,43.651915708812254,46.215
13312,01W,2010,AUD,38.41181818181818,37.65
13312,01W,2011,USD,45.83135781818183,46.936080000000004
13312,01W,2012,AUD,31.58809523809524,31.45
13312,01W,2013,USD,31.893676499999994,30.64849
13312,01W,2014,USD,33.371797619047626,33.2075
13312,01W,2015,USD,21.35238872727273,20.593165
13312,01W,2016,USD,13.460902909090905,13.506329999999998
13312,01W,2017,AUD,23.44808429118773,23.28
15508,02W,2010,GBP,31.585652173913054,33.355
15508,02W,2011,USD,37.26883586363636,37.345542
15508,02W,2012,USD,29.804669714285712,30.500976
15508,02W,2013,USD,21.181145113636365,21.6018
15508,02W,2014,USD,18.986400239130433,18.8994715
15508,02W,2015,USD,4.821123973913044,4.5139093
15508,02W,2016,USD,11.060375720306508,17.105359999999997
15618,01W,2010,ZAR,128.26391304347825,130.35
15618,01W,2011,ZAR,144.1131818181818,145.0
15618,01W,2012,ZAR,184.27238095238098,188.0
15618,01W,2013,ZAR,205.45727272727274,210.0
15618,01W,2014,ZAR,239.88000000000002,249.0
15618,01W,2015,ZAR,191.09043478260864,188.61
15618,01W,2016,ZAR,199.65164750957857,238.13
15767,01W,2010,GBP,4.17591304347826,4.172
15767,01W,2011,GBP,3.623727272727273,3.6
15767,01W,2012,GBP,4.866666666666667,4.883
15767,01W,2013,GBP,4.987636363636363,5.02
15767,01W,2014,GBP,6.09804347826087,6.05
15767,01W,2015,GBP,6.025217391304347,6.0
15767,01W,2016,GBP,5.636157088122604,5.73
15781,01W,2010,ZAR,104.34,107.55
15781,01W,2011,ZAR,98.42681818181819,98.75
15781,01W,2012,ZAR,113.6404761904762,118.88
15781,01W,2013,ZAR,124.22727272727275,129.42
15781,01W,2014,ZAR,139.85,143.48
15781,01W,2015,ZAR,115.98130434782605,113.5
15781,01W,2016,ZAR,130.88509578544057,151.75
16183,01W,2010,ZAR,15.352727272727272,15.52
16183,01W,2011,ZAR,18.12,18.31
