globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
15618,01W,2015,ZAR,191.09043478260864,188.61
15618,01W,2016,ZAR,199.65164750957857,238.13
15781,01W,2015,ZAR,115.98130434782605,113.5
15781,01W,2016,ZAR,130.88509578544057,151.75
16183,01W,2015,ZAR,25.498181818181823,26.46
16183,01W,2016,ZAR,24.799732824427466,25.68
16305,01W,2015,ZAR,146.0086956521739,143.49
16305,01W,2016,ZAR,147.9562835249043,168.69
16610,01W,2015,ZAR,180.2073913043478,185.34
16610,01W,2016,ZAR,346.0985057471265,264.41
17287,01W,2015,ZAR,22.74434782608695,22.85
17287,01W,2016,ZAR,47.09980842911876,25.39
17315,03W,2015,ZAR,91.94318181818181,82.73
17315,03W,2016,ZAR,69.92064885496183,92.0
17947,01W,2015,USD,2.899129825476522,3.0110595906000004
17947,01W,2016,ZAR,62.52321839080463,43.59
19824,01W,2015,USD,7.393910279868262,7.581876589980001
19824,01W,2016,ZAR,208.82072796934872,152.58
24946,01W,2015,ZAR,29.561363636363634,30.15
24946,01W,2016,ZAR,24.454312977099224,22.64
25052,01W,2015,ZAR,116.55130434782608,115.18
25052,01W,2016,ZAR,120.29839080459767,111.0
60918,01W,2015,ZAR,4.6378260869565215,4.5
60918,01W,2016,ZAR,8.814942528735624,11.5
62997,01W,2015,ZAR,28.309545454545454,25.8
62997,01W,2016,ZAR,21.092022900763336,19.44
100166,01W,2015,ZAR,82.26772727272727,75.4
100166,01W,2016,ZAR,74.55912213740453,83.27
100434,01W,2015,ZAR,78.35863636363638,81.55
100434,01W,2016,ZAR,82.63408396946564,83.0
100465,01W,2015,ZAR,432.1136363636364,450.0
100465,01W,2016,ZAR,424.8732061068705,397.17
100767,01W,2015,ZAR,88.09565217391305,88.66
100767,01W,2016,ZAR,93.49501915708811,101.1
101112,01W,2015,ZAR,99.16826086956522,104.44
101112,01W,2016,ZAR,119.28479591836738,0.0
101933,05W,2015,ZAR,49.690909090909095,50.45
101933,05W,2016,ZAR,46.11782442748089,44.29
102016,01W,2015,ZAR,114.35954545454547,110.5
102016,01W,2016,ZAR,88.24263358778627,86.04
102035,02W,2015,ZAR,19.81590909090909,17.1
